start_time,stop_time,stim_start_time,stim_stop_time,index,is_AM_noise,is_pure_tone,freq
210.2452497407126,210.7456997407126,210.27412249999998,210.52412249999998,253,False,True,9000.0
212.84755525928742,213.34793525928742,212.87445999999997,213.12445999999997,258,False,True,8000.0
215.9501452592874,216.45054525928742,215.97441416666663,216.22441416666663,264,True,False,0.0
216.4671897407126,216.9675747407126,216.4944208333333,216.7444208333333,265,True,False,40.0
218.5355597407126,219.05263474071262,218.56399749999997,218.81399749999997,269,False,True,13000.0
219.5864197407126,220.0868297407126,219.6143608333333,219.8643608333333,271,True,False,12.0
220.1035802592874,220.60400525928742,220.13438333333332,220.38438333333332,272,True,False,20.0
221.1377952592874,221.63819525928741,221.16436499999998,221.41436499999998,274,True,False,80.0
225.8083147407126,226.30872474071262,225.83416666666665,226.08416666666665,283,False,True,6000.0
227.37632525928743,227.8767502592874,227.4041333333333,227.6541333333333,286,False,True,6000.0
